term_category,records,unique_terms,dataset
appearance,39797,4,genz_2020_2025
approval,106901,7,genz_2020_2025
attraction,16782,1,genz_2020_2025
behavior,23903,2,genz_2020_2025
dating,21321,2,genz_2020_2025
description,12961,1,genz_2020_2025
emotion,28021,2,genz_2020_2025
emphasis,24147,2,genz_2020_2025
exposure,10596,1,genz_2020_2025
food,4219,1,genz_2020_2025
humor,47789,6,genz_2020_2025
identity,57849,5,genz_2020_2025
insult,71116,6,genz_2020_2025
manipulation,16766,1,genz_2020_2025
meme,12930,1,genz_2020_2025
reaction,30304,3,genz_2020_2025
social,9994,1,genz_2020_2025
animals,502,2,twitter_2010
appearance,1981,11,twitter_2010
approval,1573,7,twitter_2010
attraction,1346,4,twitter_2010
behavior,2848,11,twitter_2010
dating,128,1,twitter_2010
description,6877,27,twitter_2010
drug,205,2,twitter_2010
emotion,400,1,twitter_2010
emphasis,1345,5,twitter_2010
food,974,3,twitter_2010
humor,479,3,twitter_2010
identity,2329,15,twitter_2010
insult,2986,13,twitter_2010
manipulation,369,1,twitter_2010
meme,82,1,twitter_2010
money,463,2,twitter_2010
reaction,2018,7,twitter_2010
religion,535,2,twitter_2010
sex,1348,6,twitter_2010
social,4955,16,twitter_2010
technology,2262,12,twitter_2010
