slang_term,lifecycle_phase,posts,avg_virality_score,avg_sentiment_score,avg_days_since_emergence
NPC,growing,6215,0.010856637168141593,-0.3520038616251006,275.05711987127916
NPC,declining,4741,0.009322083948534064,-0.34487196793925334,735.0518877873866
NPC,peak,2596,0.015175654853620955,-0.3623474576271186,525.7261171032358
NPC,legacy,642,0.001753894080996885,-0.33534267912772586,997.873831775701
Roman Empire,declining,1236,0.010037216828478964,0.27946601941747573,135.57766990291262
Roman Empire,growing,851,0.009870740305522915,0.3493830787309048,36.99882491186839
Roman Empire,peak,644,0.01512111801242236,0.32762577639751556,78.77329192546584
Roman Empire,legacy,597,0.001710217755443886,0.3020284757118928,265.0988274706868
ate,declining,6179,0.007537627447807089,0.43849134164104225,767.0647353940767
ate,growing,5424,0.007986541297935103,0.4721299778761062,240.39067109144543
ate,peak,3413,0.0121210079109288,0.46701259888661,487.93261060650457
ate,legacy,610,0.0011131147540983607,0.46204262295081966,1088.439344262295
aura,growing,4086,0.010822075379344102,0.27693318649045523,183.99094468918258
aura,peak,2529,0.01588967971530249,0.2721577698695137,371.63068406484774
aura,declining,2499,0.012375350140056023,0.2506322529011605,508.8623449379752
based,growing,8233,0.007970727559820236,0.4718946920927973,367.7544030122677
based,declining,6280,0.007020063694267516,0.4328308917197452,975.0640127388535
based,peak,3460,0.011014450867052022,0.4455436416184971,697.0057803468208
based,legacy,568,0.0010264084507042254,0.45297359154929573,1300.1355633802816
beige flag,declining,3390,0.009335103244837759,0.06144070796460177,386.16873156342183
beige flag,growing,2530,0.010530434782608695,0.08068774703557312,112.30237154150197
beige flag,peak,1901,0.014692793266701736,0.06940084166228301,233.06417674907942
beige flag,legacy,589,0.001573853989813243,0.05884550084889643,603.2122241086587
brain rot,growing,5731,0.010395393474088292,0.3413962659221776,258.46414238352816
brain rot,declining,5495,0.009860600545950863,0.30952174704276614,747.9306642402183
brain rot,peak,3098,0.015296642995480956,0.3366500968366688,509.1132989025177
brat,declining,2460,0.00942520325203252,0.24049674796747966,239.5280487804878
brat,peak,1383,0.01439479392624729,0.2920672451193058,127.68618944323933
brat,growing,1239,0.010846650524616626,0.3021218724778047,54.52219531880549
brat,legacy,630,0.001684126984126984,0.2366809523809524,420.15238095238095
bussin,growing,7031,0.010265253875693358,0.46031617124164415,313.30365524107526
bussin,declining,6534,0.01016008570554025,0.43643373125191304,900.6345270890725
bussin,peak,3494,0.015039496279336005,0.4578537492844877,612.2478534630795
bussin,legacy,592,0.001883445945945946,0.45528040540540543,1236.964527027027
caught in 4k,declining,4031,0.007156536839493922,-0.2858218804266931,512.1959811461176
caught in 4k,growing,3704,0.007950863930885529,-0.27121463282937364,164.923596112311
caught in 4k,peak,2228,0.011093806104129264,-0.28406328545780973,332.38554757630163
caught in 4k,legacy,633,0.0011674565560821485,-0.28345339652448653,751.6508688783571
cheugy,declining,1568,0.009655612244897959,-0.35360650510204084,183.31186224489795
cheugy,growing,1238,0.011187399030694668,-0.3576946688206785,53.96122778675283
cheugy,peak,796,0.01624246231155779,-0.34773366834170855,114.21356783919597
cheugy,legacy,587,0.001686541737649063,-0.3622657580919932,325.60647359454856
cooked,growing,5420,0.0106690036900369,0.312399815498155,238.9079335793358
cooked,peak,2846,0.014470484891075193,0.2930832747716093,470.6307097680956
cooked,declining,2759,0.011427691192461037,0.26877491844871326,623.0855382384922
delulu,declining,6248,0.009591549295774647,-0.337196542893726,734.6901408450705
delulu,growing,4954,0.010395236172789665,-0.3415694388373032,219.53128784820348
delulu,peak,3424,0.015346378504672896,-0.3529821845794393,455.4906542056075
delulu,legacy,618,0.0017135922330097086,-0.3531779935275081,1057.7637540453075
demure,declining,1830,0.009907650273224045,0.33388360655737703,171.3071038251366
