term_category,sentiment,posts,unique_terms,avg_sentiment_score
approval,positive,79652,7,0.6499132727364033
insult,negative,45278,6,-0.6500617297583815
identity,positive,28665,5,0.6496673294959009
humor,positive,28255,6,0.6499513360467174
appearance,positive,25469,4,0.6502740193961287
identity,neutral,23745,5,0.0007196041271846704
approval,neutral,22053,7,-0.00041418401124563545
insult,neutral,18648,6,0.0017746138996138998
reaction,positive,16484,3,0.6499619024508614
humor,neutral,14922,6,0.0001751105749899478
emotion,positive,12440,2,0.6532516077170418
manipulation,negative,12401,1,-0.6507105878558181
emphasis,positive,11716,2,0.6497911403209287
reaction,neutral,10967,3,-0.002986140238898514
appearance,neutral,10382,4,-0.0007925255249470239
emotion,neutral,10224,2,0.0004686032863849765
emphasis,neutral,10151,2,0.0012493350408826717
behavior,neutral,9784,2,0.0005704210956663943
attraction,positive,9125,1,0.6509018082191781
dating,neutral,8768,2,-0.0021235173357664235
dating,positive,7427,2,0.6493601723441497
behavior,positive,7215,2,0.6485272349272349
insult,positive,7190,6,0.6520810848400556
behavior,negative,6904,2,-0.6508551564310544
description,neutral,6797,1,0.0016070325143445637
meme,positive,6425,1,0.6511783657587549
exposure,negative,6169,1,-0.6511116874696061
attraction,neutral,6079,1,-0.0043038328672479025
identity,negative,5439,5,-0.6440623276337561
emotion,negative,5357,2,-0.6480563748366623
meme,neutral,5222,1,0.003461509000382995
approval,negative,5196,7,-0.646215935334873
dating,negative,5126,2,-0.6466861100273118
description,positive,4972,1,0.6540567176186645
social,neutral,4723,1,-0.0016220622485708237
humor,negative,4612,6,-0.6413241543798786
social,positive,4312,1,0.6528467068645639
appearance,negative,3946,4,-0.6502754688291942
manipulation,neutral,3505,1,0.0023509272467902996
food,positive,2922,1,0.6601242299794662
reaction,negative,2853,3,-0.6537872415001753
exposure,neutral,2779,1,-0.007759985606333214
emphasis,negative,2280,2,-0.6500723684210526
exposure,positive,1648,1,0.648802791262136
attraction,negative,1578,1,-0.646234474017744
meme,negative,1283,1,-0.6484762275915822
description,negative,1192,1,-0.639380033557047
food,neutral,1114,1,-0.010595152603231598
social,negative,959,1,-0.646252346193952
manipulation,positive,860,1,0.6592058139534884
food,negative,183,1,-0.6480382513661201
