term_category,syllable_bucket,posts,unique_terms
approval,2,49261,3
approval,1,45502,3
insult,1,40926,3
identity,2,37813,3
appearance,2,29990,3
humor,2,29940,3
emphasis,2,24147,2
reaction,1,19279,2
humor,3+,17849,3
attraction,1,16782,1
manipulation,3+,16766,1
insult,3+,15244,1
insult,2,14946,2
emotion,2,14401,1
identity,3+,14324,1
emotion,3+,13620,1
description,3+,12961,1
meme,3+,12930,1
dating,1,12911,1
behavior,3+,12498,1
approval,3+,12138,1
behavior,2,11405,1
reaction,2,11025,1
exposure,3+,10596,1
social,2,9994,1
appearance,3+,9807,1
dating,2,8410,1
identity,1,5712,1
food,3+,4219,1
