year,syllable_bucket,posts,unique_terms,avg_syllables,avg_chars
2020,1,14424,3,1.0,4.471089850249584
2020,2,29763,6,2.0,7.5944629237644055
2020,3+,8405,3,3.958953004164188,13.917906008328377
2021,1,23133,6,1.0,4.4407988587731815
2021,2,37179,10,2.0,6.8283977514188114
2021,3+,31285,6,4.133993926801982,14.829598849288796
2022,1,33185,9,1.0,3.6820551453970167
2022,2,37107,9,2.0,7.060878001455251
2022,3+,31055,8,3.9327000483014007,13.86552890033811
2023,1,37720,8,1.0,3.3776511134676563
2023,2,43019,12,2.0,6.6960877751691115
2023,3+,33267,11,3.1923527820362523,9.450807106141221
2024,1,26847,8,1.0,3.8585316795172644
2024,2,52802,15,2.0,6.109541305253589
2024,3+,33196,9,3.118598626340523,8.664929509579467
2025,1,5803,5,1.0,4.399965535068068
2025,2,41462,10,2.0,5.968308330519512
2025,3+,15744,6,3.080792682926829,9.643610264227643
