origin_platform,term_category,tweets,unique_terms
offline_general_slang,description,5146,21
offline_general_slang,social,2778,8
offline_general_slang,insult,2752,11
offline_general_slang,behavior,2107,8
instant_messaging_texting,social,1886,6
music_hiphop,description,1374,3
offline_general_slang,appearance,1221,8
offline_general_slang,emphasis,1158,4
offline_general_slang,identity,1144,8
offline_general_slang,sex,1109,4
offline_general_slang,technology,1069,4
instant_messaging_texting,reaction,1013,3
offline_general_slang,approval,1005,4
offline_general_slang,food,974,3
music_hiphop,identity,838,2
offline_general_slang,reaction,757,3
offline_general_slang,attraction,642,2
internet_forums,appearance,637,2
offline_general_slang,religion,535,2
offline_general_slang,animals,502,2
offline_general_slang,humor,479,3
offline_general_slang,money,463,2
twitter,technology,434,1
offline_general_slang,emotion,400,1
music_hiphop,attraction,399,1
instant_messaging_texting,behavior,398,1
offline_general_slang,manipulation,369,1
instant_messaging_texting,technology,355,3
television_film,attraction,305,1
youtube,approval,288,1
music_hiphop,approval,280,2
internet_forums,reaction,248,1
internet_forums,insult,234,2
internet_forums,technology,229,2
internet_forums,identity,223,4
gaming,social,210,1
offline_general_slang,drug,205,2
internet_forums,behavior,202,1
instant_messaging_texting,emphasis,187,1
instant_messaging_texting,description,156,1
printed_literature,behavior,141,1
internet_forums,sex,140,1
printed_literature,dating,128,1
printed_literature,identity,124,1
music_hiphop,appearance,123,1
internet_forums,description,117,1
gaming,technology,116,1
music_hiphop,sex,99,1
printed_literature,description,84,1
printed_literature,meme,82,1
music_hiphop,social,81,1
printed_literature,technology,59,1
