term_category,sentiment_label,tweets,avg_sentiment_score
description,positive,2702,0.5299826794966692
social,positive,2513,0.5806426183844011
description,negative,2354,-0.4908146983857264
description,neutral,1821,-2.6743547501372883e-05
social,neutral,1618,-2.1013597033374535e-05
behavior,positive,1297,0.5337178874325366
insult,positive,1248,0.5425766025641026
identity,positive,1108,0.5423970216606498
technology,positive,1026,0.5198007797270955
insult,neutral,938,0.00010575692963752665
behavior,neutral,912,-0.0002487938596491228
appearance,positive,874,0.5507524027459955
social,negative,824,-0.468868567961165
insult,negative,800,-0.485311625
approval,positive,758,0.5793105540897098
identity,neutral,745,0.0003244295302013423
reaction,positive,733,0.5010049113233288
attraction,positive,704,0.5803508522727273
technology,neutral,679,-0.000185419734904271
appearance,neutral,676,0.00020636094674556215
reaction,neutral,647,0.00021715610510046366
behavior,negative,639,-0.45329092331768384
reaction,negative,638,-0.4894578369905956
emphasis,positive,605,0.5308064462809917
sex,positive,595,0.5329094117647059
technology,negative,557,-0.45544685816876124
emphasis,negative,536,-0.6042263059701493
identity,negative,476,-0.4847579831932773
approval,neutral,455,6.989010989010988e-05
attraction,neutral,442,5.9954751131221724e-05
food,neutral,435,-7.2183908045977e-05
appearance,negative,431,-0.4801568445475638
food,positive,413,0.5528087167070218
sex,neutral,396,0.00030075757575757575
approval,negative,360,-0.49095249999999996
sex,negative,357,-0.5010252100840337
religion,positive,346,0.5784182080924856
money,positive,252,0.5740686507936508
humor,positive,223,0.5371533632286996
animals,positive,222,0.5512130630630631
emphasis,neutral,204,-0.00021127450980392155
attraction,negative,200,-0.46959049999999997
emotion,positive,179,0.48990502793296087
animals,negative,169,-0.4897011834319527
manipulation,positive,163,0.5631539877300613
religion,negative,138,-0.5327971014492754
humor,neutral,133,-6.31578947368421e-05
drug,positive,132,0.5007712121212121
food,negative,126,-0.40262777777777775
emotion,neutral,125,-0.0006992000000000001
humor,negative,123,-0.47102845528455284
manipulation,neutral,118,-0.0005466101694915254
money,neutral,115,-0.00034782608695652176
animals,neutral,111,0.0006837837837837837
money,negative,96,-0.45929791666666664
emotion,negative,96,-0.44268854166666666
manipulation,negative,88,-0.4697795454545455
dating,positive,71,0.612856338028169
drug,neutral,52,-0.0008326923076923076
religion,neutral,51,0.0003607843137254904
dating,neutral,34,0.0013352941176470587
meme,neutral,31,0.0
meme,positive,30,0.5223466666666666
dating,negative,23,-0.3985521739130435
meme,negative,21,-0.4773428571428572
drug,negative,21,-0.46440952380952377
