word,tweets,avg_sentiment_score,positive_share,neutral_share,negative_share
skeevy,515,0.06496019417475729,0.3844660194174757,0.32427184466019415,0.2912621359223301
sis,494,0.26497145748987855,0.5344129554655871,0.30364372469635625,0.16194331983805668
bro,490,0.22954244897959186,0.5469387755102041,0.3020408163265306,0.1510204081632653
lemme,490,0.13949530612244898,0.43673469387755104,0.38571428571428573,0.17755102040816326
lame-o,487,0.13871252566735112,0.45585215605749485,0.3162217659137577,0.22792607802874743
sicc,483,-0.01927225672877847,0.3084886128364389,0.36231884057971014,0.32919254658385094
zooted,482,0.11594128630705394,0.3630705394190871,0.45643153526970953,0.18049792531120332
BFFL,473,0.2956338266384778,0.587737843551797,0.25792811839323465,0.1543340380549683
compy,469,0.10044605543710021,0.44349680170575695,0.279317697228145,0.2771855010660981
pregos,459,0.1339028322440087,0.4466230936819172,0.29411764705882354,0.25925925925925924
crappy,455,-0.31459538461538467,0.22637362637362637,0.03076923076923077,0.7428571428571429
poopy,454,0.1037,0.3876651982378855,0.3832599118942731,0.2290748898678414
sesh,451,0.2293643015521064,0.5055432372505543,0.34811529933481156,0.14634146341463414
peeps,442,0.274489592760181,0.5565610859728507,0.2986425339366516,0.14479638009049775
dis,442,0.026036199095022628,0.40497737556561086,0.24434389140271492,0.3506787330316742
mozzie,441,0.05073378684807256,0.40816326530612246,0.23809523809523808,0.35374149659863946
shiesty,439,-0.033901822323462415,0.32801822323462415,0.2733485193621868,0.39863325740318906
tweeker,435,0.15462367816091954,0.49195402298850577,0.25287356321839083,0.25517241379310346
twit,434,0.21600092165898618,0.5138248847926268,0.34101382488479265,0.14516129032258066
wut,432,0.12730462962962963,0.3958333333333333,0.41203703703703703,0.19212962962962962
linner,430,0.22963139534883723,0.4697674418604651,0.4116279069767442,0.1186046511627907
gansta,430,0.08701558139534883,0.4232558139534884,0.30930232558139537,0.26744186046511625
pedo,426,0.1655661971830986,0.5,0.27230046948356806,0.22769953051643194
mosey,421,0.16064893111638956,0.44418052256532065,0.38954869358669836,0.166270783847981
grub,419,0.13887756563245823,0.3747016706443914,0.4916467780429594,0.13365155131264916
badass,416,0.10252548076923076,0.47596153846153844,0.09134615384615384,0.4326923076923077
bumfuck,415,0.021365301204819276,0.3542168674698795,0.3301204819277108,0.3156626506024096
gotsta,414,0.14379903381642511,0.4444444444444444,0.34782608695652173,0.20772946859903382
rachet,409,-0.024141075794621027,0.3422982885085575,0.2762836185819071,0.38141809290953543
gangsta,408,0.10043823529411765,0.4534313725490196,0.3088235294117647,0.23774509803921567
conniption,400,0.11276875,0.4475,0.3125,0.24
whooty,399,0.1897796992481203,0.44110275689223055,0.41353383458646614,0.14536340852130325
CBA,398,0.05561733668341708,0.38190954773869346,0.3165829145728643,0.3015075376884422
KMT,397,-0.07335365239294711,0.2695214105793451,0.34005037783375314,0.3904282115869018
hells,393,0.26382798982188294,0.6743002544529262,0.13486005089058525,0.19083969465648856
motherfucking,392,-0.5486502551020408,0.10714285714285714,0.017857142857142856,0.875
prettyful,391,0.3001552429667519,0.578005115089514,0.31202046035805625,0.10997442455242967
gnarly,391,0.15276317135549872,0.46547314578005117,0.309462915601023,0.22506393861892582
gunt,387,0.02634186046511628,0.28940568475452194,0.4702842377260982,0.24031007751937986
annihilated,380,0.07884394736842106,0.41578947368421054,0.32105263157894737,0.2631578947368421
snitch,377,0.005718037135278514,0.3448275862068966,0.3156498673740053,0.3395225464190981
F2F,371,0.33722614555256064,0.6388140161725068,0.261455525606469,0.09973045822102426
