term_category,syllable_bucket,tweets,unique_terms
description,2,4861,14
social,1,3808,12
behavior,2,1997,7
reaction,1,1770,6
insult,2,1674,5
identity,2,1562,8
technology,1,1260,6
sex,2,1249,5
description,1,1180,7
social,2,1147,4
appearance,1,978,4
attraction,2,955,3
insult,1,870,4
approval,1,861,4
appearance,2,850,6
description,3+,836,6
identity,3+,724,5
technology,2,670,4
behavior,1,600,2
emphasis,2,560,3
food,1,544,2
money,2,463,2
insult,3+,442,4
animals,1,441,1
approval,2,433,2
food,2,430,1
emotion,3+,400,1
emphasis,1,393,1
emphasis,3+,392,1
attraction,3+,391,1
humor,1,374,2
manipulation,1,369,1
technology,3+,332,2
religion,1,320,1
approval,3+,279,1
behavior,3+,251,2
reaction,2,248,1
religion,3+,215,1
appearance,3+,153,1
drug,3+,137,1
dating,3+,128,1
humor,3+,105,1
sex,3+,99,1
meme,1,82,1
drug,1,68,1
animals,2,61,1
identity,1,43,2
