month,word,tweets,ironic_share
2010-01,AWOL,39,0.0
2010-02,AWOL,59,0.0
2010-03,AWOL,22,0.0
2010-04,AWOL,41,0.0
2010-05,AWOL,21,0.0
2010-06,AWOL,18,0.0
2010-07,AWOL,36,0.0
2010-08,AWOL,20,0.0
2010-09,AWOL,21,0.0
2010-10,AWOL,41,0.0
2010-11,AWOL,16,0.0
2010-12,AWOL,13,0.0
2010-01,BFFL,20,0.0
2010-02,BFFL,39,0.0
2010-03,BFFL,68,0.0
2010-04,BFFL,26,0.0
2010-05,BFFL,67,0.0
2010-06,BFFL,10,0.0
2010-07,BFFL,20,0.0
2010-08,BFFL,19,0.0
2010-09,BFFL,49,0.0
2010-10,BFFL,40,0.0
2010-11,BFFL,29,0.0
2010-12,BFFL,86,0.023255813953488372
2010-01,Baltimoron,11,0.0
2010-02,Baltimoron,8,0.0
2010-03,Baltimoron,11,0.0
2010-04,Baltimoron,10,0.0
2010-05,Baltimoron,7,0.0
2010-06,Baltimoron,7,0.0
2010-07,Baltimoron,9,0.0
2010-08,Baltimoron,9,0.0
2010-09,Baltimoron,14,0.0
2010-10,Baltimoron,16,0.0
2010-11,Baltimoron,12,0.0
2010-12,Baltimoron,17,0.0
2011-01,Baltimoron,3,0.0
2010-01,Bible-thumping,8,0.0
2010-02,Bible-thumping,14,0.0
2010-03,Bible-thumping,8,0.0
2010-04,Bible-thumping,17,0.0
2010-05,Bible-thumping,20,0.0
2010-06,Bible-thumping,32,0.03125
2010-07,Bible-thumping,18,0.05555555555555555
2010-08,Bible-thumping,1,0.0
2010-09,Bible-thumping,32,0.0
2010-10,Bible-thumping,11,0.0
2010-11,Bible-thumping,31,0.0
2010-12,Bible-thumping,23,0.0
2010-01,Brotox,5,0.2
2010-02,Brotox,1,0.0
2010-03,Brotox,4,0.0
2010-05,Brotox,2,0.0
2010-06,Brotox,4,0.0
2010-07,Brotox,1,0.0
2010-08,Brotox,2,0.0
2010-09,Brotox,1,0.0
2010-10,Brotox,1,0.0
2010-11,Brotox,1,0.0
2010-12,Brotox,3,0.0
2010-01,CBA,14,0.0
2010-02,CBA,51,0.0
2010-03,CBA,39,0.0
2010-04,CBA,36,0.0
2010-05,CBA,51,0.0
2010-06,CBA,23,0.0
2010-07,CBA,15,0.0
2010-08,CBA,16,0.0
2010-09,CBA,31,0.0
2010-10,CBA,24,0.0
2010-11,CBA,45,0.0
2010-12,CBA,53,0.0
2010-01,DFTBA,22,0.0
2010-02,DFTBA,16,0.0
2010-03,DFTBA,31,0.0
2010-04,DFTBA,18,0.0
2010-05,DFTBA,26,0.0
2010-06,DFTBA,16,0.0
2010-07,DFTBA,30,0.0
2010-08,DFTBA,14,0.07142857142857142
2010-09,DFTBA,36,0.0
2010-10,DFTBA,21,0.0
2010-11,DFTBA,33,0.0
2010-12,DFTBA,25,0.0
2010-01,F2F,16,0.0
2010-02,F2F,13,0.0
2010-03,F2F,53,0.0
2010-04,F2F,50,0.0
2010-05,F2F,33,0.0
2010-06,F2F,7,0.0
2010-07,F2F,58,0.0
2010-08,F2F,14,0.0
2010-09,F2F,56,0.0
2010-10,F2F,16,0.0
2010-11,F2F,33,0.0
2010-12,F2F,22,0.0
2010-01,GLHF,13,0.0
2010-02,GLHF,5,0.0
2010-03,GLHF,7,0.0
2010-04,GLHF,10,0.0
2010-05,GLHF,46,0.0
2010-06,GLHF,9,0.0
2010-07,GLHF,21,0.0
2010-08,GLHF,26,0.0
2010-09,GLHF,22,0.0
2010-10,GLHF,11,0.0
2010-11,GLHF,24,0.0
2010-12,GLHF,16,0.0
2010-01,God,21,0.0
2010-02,God,27,0.0
