usage_context,tweets,unique_terms
casual_conversation,17267,132
commenting,8713,109
self_description,2101,52
humor,1274,58
technology_discussion,1255,51
reaction,1147,16
compliment,702,20
criticism,603,26
sexual_context,577,14
food_related,495,25
television_reference,433,21
fashion_beauty,398,19
music_discussion,350,35
sports_discussion,142,26
gaming,114,19
work_school,97,21
celebrity_gossip,86,16
book_discussion,75,3
article_sharing,42,12
advertising_spam,31,11
drug_context,29,5
meme_reference,23,2
news_reaction,18,8
dating_context,18,7
storytelling,11,7
religion,4,1
