word,id,date,text,author_id,term_meaning,term_category,usage_context,is_ironic,annotation_notes
bomb,7849373956,2010-01-17,@_thaBestest yeah that'd be bomb,25676907,excellent; very good; impressive,approval,commenting,false,
bomb,7849377311,2010-01-17,"Yeah, everybody's got a bomb. We could all die any day, but before I let that happen I'll dance my life away! Prince.",31237958,excellent; very good; impressive,approval,humor,false,Approval review override: humor
bomb,7849392965,2010-01-17,eatin tocas wit the gurl tina they bomb ass hell,84807215,excellent; very good; impressive,approval,food_related,false,Approval review override: food_related
bomb,7849395731,2010-01-17,in and out is soo bomb,53449915,excellent; very good; impressive,approval,food_related,false,Approval review override: food_related
bomb,7849395812,2010-01-17,"@DAMEGREASE lol ""Bomb First"" im bout to put that shit on now...allow me to introduce makaveli the don ahhhh",60635342,excellent; very good; impressive,approval,music_discussion,false,Bomb appears in a song/artist/title context. | Approval review override: music_discussion
bomb,7849396170,2010-01-17,RT @BuzzKill_magee yes it is. With corn flakes! Lol  &lt; I'm earit radon bran this is tthe bomb!! &gt;&gt;&gt;woah I had to do my own translation! Lol,49645677,excellent; very good; impressive,approval,food_related,false,
bomb,7849425816,2010-01-17,@Someguynamedpat Scott Brown VOLUNTEER BOMB!: Central MA: Tom Dickens 207-393-0045 #41stvote #masen RTRumble! @swMA,47775464,excellent; very good; impressive,approval,advertising_spam,false,Approval review override: advertising_spam
bomb,7849428922,2010-01-17,"Damn the Rio, Las Vegas has bomb ass specials going on for their 20th anniversary....I'm tempted to take my ass to vegas LOL",23612642,excellent; very good; impressive,approval,commenting,false,
bomb,7849430206,2010-01-17,I'm thee f'kin bomb. Tick-Tick BOOM bxtch here i f'kin come -------&gt;,21125204,excellent; very good; impressive,approval,self_description,false,Refers to slur usage rather than approval slang. | Darwin audit: self_description
bomb,7849432693,2010-01-17,"I don't think y'all appreciate just how awesome @fairyluvsu is. She's the bomb-diggity, yo.",22137025,excellent; very good; impressive,approval,compliment,false,
bomb,7946311663,2010-01-19,Twitter Bomb Joke http://is.gd/6APjv,47620371,excellent; very good; impressive,approval,article_sharing,false,Approval review override: article_sharing
bomb,7946325997,2010-01-19,New idea: Man arrested over Twitter airport bomb threat - The Star http://bit.ly/8YSVgr,72219192,excellent; very good; impressive,approval,article_sharing,false,Literal bomb/news link share. | Approval review override: article_sharing
bomb,7946344710,2010-01-19,Completed Bomb Enemy Dojo #epicpetwars http://www.epicpetwars.com,53115439,excellent; very good; impressive,approval,gaming,false,Literal/game-title use of bomb. | Approval review override: gaming
bomb,7946346285,2010-01-19,"@ da cotton fields... ""Bomb weed in my chest like I'm bout to explode in da lobby"" 8-)",38524285,excellent; very good; impressive,approval,commenting,false,
bomb,7946348891,2010-01-19,I HAVE TO GO BUY LETOYA'S LADY LOVE ALBUM. SHID IS BOMB,25713824,excellent; very good; impressive,approval,music_discussion,false,Bomb appears in a song/artist/title context.
bomb,7946351178,2010-01-19,"@Szczepanik that store is the bomb -- did you enjoy?  we bought our crib from there.  well... not OUR crib, but the baby's crib...",18776066,excellent; very good; impressive,approval,compliment,false,
bomb,7946351387,2010-01-19,"Don't Tweet many tunes on this account, but this is a fave http://open.spotify.com/track/6AwUzkLgOIGuz2rHDfyRlu Fluke – Atom Bomb (Atomix 3)",29187025,excellent; very good; impressive,approval,music_discussion,false,Bomb appears in a song/artist/title context. | Approval review override: music_discussion
bomb,7946366214,2010-01-19,@Lt_Fed_Brusque I'm a ticking time bomb. Someone left the fuse next to the dynamite pile.... XD http://bit.ly/78lEMO,38498924,excellent; very good; impressive,approval,article_sharing,false,Literal bomb/news link share.
bomb,7946385096,2010-01-19,"RT @Drsaunderson: ""in a meeting with my staff right now... my people are the bomb! ...word"" thats attitude reflects leadership....u da man!",83948397,excellent; very good; impressive,approval,compliment,false,Approval review override: compliment
bomb,7946387737,2010-01-19,knows how to make a bomb peach cobbler!,37667093,excellent; very good; impressive,approval,food_related,false,
bomb,8005507738,2010-01-20,#nowplaying Love Bomb - N.E.R.D.  (:,36877238,excellent; very good; impressive,approval,music_discussion,false,Bomb appears in a song/artist/title context. | Approval review override: music_discussion
