word,id,date,text,author_id,term_meaning,term_category,usage_context,is_ironic,annotation_notes
booty,7535845541,2010-01-08,@OhLamz Really now? I can see you shakin your booty to it. Lol...who knows where he is. Maybe searchin for Ms new booty still lol,73693506,buttocks; sexy rear end,attraction,casual_conversation,false,
booty,7535862176,2010-01-08,#youwerecooluntil u called me @ booty call hours just 2 ask 4 @millii_hussle #. Umm his phone off bitch but what u doin up this late?,43860923,buttocks; sexy rear end,attraction,sexual_context,false,Manual override -> sexual_context
booty,7535877427,2010-01-08,I finally figured out how a booty can have swagg.,30777229,buttocks; sexy rear end,attraction,commenting,false,
booty,7535891420,2010-01-08,Currently playing: The Real Booty Babes - Meet her at the Loveparade | Tune in now: http://iq.to/rmfm,38488692,buttocks; sexy rear end,attraction,music_discussion,false,Manual override -> music_discussion
booty,7535906578,2010-01-08,So now you have to look for padding on top and bottom. Book ended as such. Not that I am looking! - Booty Pop Panties! http://bit.ly/82suK5,14170236,buttocks; sexy rear end,attraction,fashion_beauty,false,Manual override -> fashion_beauty
booty,7535906971,2010-01-08,#youwerecooluntil you told me u thought about purchasing a booty up #keepitrealshorty,46500255,buttocks; sexy rear end,attraction,fashion_beauty,false,Manual override -> fashion_beauty
booty,7535908191,2010-01-08,#youwerecooluntil I found out you wear Booty Pop!! Lmao,68799229,buttocks; sexy rear end,attraction,fashion_beauty,false,Manual override -> fashion_beauty
booty,7535915557,2010-01-08,Flip & Fill feat. Mr. Vegas - Kokaine (The Real Booty Babes Remix)      http://neradio.se/,88897597,buttocks; sexy rear end,attraction,music_discussion,false,Manual override -> music_discussion
booty,7535918409,2010-01-08,"*singing* Wit such a pretty face, big booty, lil waistline... I wanna grind from behind to the baseline.....",20718907,buttocks; sexy rear end,attraction,music_discussion,false,Manual override -> music_discussion
booty,7535918487,2010-01-08,@ms_NO_booty GOOGLE,54657862,buttocks; sexy rear end,attraction,casual_conversation,false,
booty,8048260438,2010-01-22,@UrsulaKilgore YEP I SAW U SHAKIN YOUR BOOTY ITS TURNED ME ON,92894150,buttocks; sexy rear end,attraction,sexual_context,false,Manual override -> sexual_context
booty,8048261724,2010-01-22,@teamrobot @republicnola tonight ! DJ  Jive & Legit with booty beats!!! Let's rock!,22595362,buttocks; sexy rear end,attraction,music_discussion,false,Manual override -> music_discussion
booty,8048264432,2010-01-22,"Very nice, it looks like it would love a little squeeze? RT @AngelVain: new avatar booty pic up more ass just for you.",106275920,buttocks; sexy rear end,attraction,sexual_context,false,Manual override -> sexual_context
booty,8048278819,2010-01-22,@MS_BAJANBEAUTY Wonder Booty? lol i needz meh a chick wit a #WonderBooty GNR,94234602,buttocks; sexy rear end,attraction,fashion_beauty,false,Manual override -> fashion_beauty
booty,8048288126,2010-01-22,2morrow I'm partyin wit my big booty homegurls @ReceyFBaby & @beccadabody for Recey B-Day gonna have me a gr8 nite..l.I.t's all nite!,42621740,buttocks; sexy rear end,attraction,sexual_context,false,
booty,8048291471,2010-01-22,"""Dip it down then roll with it"" &lt;&lt;&lt; ""Her Booty Got Swagg"" is one of the best workout songs ever.... :)",14150946,buttocks; sexy rear end,attraction,music_discussion,false,
booty,8048305852,2010-01-22,@MsTee_82 can u say booty pop on steroids,27077138,buttocks; sexy rear end,attraction,fashion_beauty,false,
booty,8048310897,2010-01-22,@nickjonas georgia misses you soo much.! get your booty over here! :),29112861,buttocks; sexy rear end,attraction,casual_conversation,false,
booty,8048320600,2010-01-22,"@Jaicenia ok well i guess it was the liquor cuz your booty looked bigger!! lol and yes mama, the show at the cellar",33713649,buttocks; sexy rear end,attraction,casual_conversation,false,
booty,8048325210,2010-01-22,Kindervater - Ordinary World (The Real Booty Babes Remix)      http://neradio.se/,88897597,buttocks; sexy rear end,attraction,music_discussion,false,
booty,8783441842,2010-02-07,GS boyz - booty dew... Smmfh Really?,26103999,buttocks; sexy rear end,attraction,music_discussion,false,Manual override -> music_discussion
booty,8783442059,2010-02-07,"I cant stand Manning ole stanky booty self. De you see em?
.:jAC jACK:.",89103817,buttocks; sexy rear end,attraction,criticism,false,Darwin audit -> criticism
booty,8783483987,2010-02-07,@thedavidcook Either Way Tommorow I Get To See A Guy In Girl Booty Shorts :D,67955832,buttocks; sexy rear end,attraction,casual_conversation,false,
booty,8783490137,2010-02-07,Headed to the shereton for this sb party....GO COLTS!!!!!!!!!!! WHOOP THAT SAINTS BOOTY!,17956768,buttocks; sexy rear end,attraction,sports_discussion,false,Manual override -> sports_discussion
booty,8783496540,2010-02-07,@trobinbills what's hanin lil booty,61967735,buttocks; sexy rear end,attraction,casual_conversation,false,
booty,8783521115,2010-02-07,@WinstonTrackstr omg its a BOOTY!!!! im done!,93125791,buttocks; sexy rear end,attraction,casual_conversation,false,
