word,id,date,text,author_id,term_meaning,term_category,usage_context,is_ironic,annotation_notes
CBA,8135855649,2010-01-24,"Does anybody else get those nights where you just cba to sleep?... No? Ok just me then, all on ma lonesome :(",68763741,can't be arsed; can't be bothered or unwilling to deal with something,behavior,self_description,false,
CBA,8136064125,2010-01-24,"OHH MY Dayyys..... its 3:46 in the morning and i have a football match tomorrow ""/ Cba going to sleep ..",93173180,can't be arsed; can't be bothered or unwilling to deal with something,behavior,self_description,false,
CBA,8136712044,2010-01-24,is nnt drunk. makeups gnnna be vgle in the morn cba to take ht off! goodnhghtxxxxwx,49090006,can't be arsed; can't be bothered or unwilling to deal with something,behavior,self_description,false,
CBA,8137368786,2010-01-24,"NJ boys swimming: Jaeger, CBA rule Monmouth County -- again: By Rich Bevensee/For The Star-Ledger Christian Brothe... http://bit.ly/6PVWmL",76320473,can't be arsed; can't be bothered or unwilling to deal with something,behavior,sports_discussion,false,Behavior review override: sports_discussion
CBA,8137588425,2010-01-24,MLS CBA may push Seattle Sounders star Ljungberg to Europe - Arsenal http://aggbot.com/docs/link.php?id=4750182&ref=tw&cat=35,48140529,can't be arsed; can't be bothered or unwilling to deal with something,behavior,article_sharing,false,Behavior review override: article_sharing
CBA,8137589030,2010-01-24,MLS CBA may push Seattle Sounders star Ljungberg to Europe - http://is.gd/6UFoe #football #Arsenal,91623442,can't be arsed; can't be bothered or unwilling to deal with something,behavior,article_sharing,false,Behavior review override: article_sharing
CBA,8137621222,2010-01-24,"@punavailable Lol, im tired, just cba sleeping. Which in turn causes me to become bored. I NEED TO BE AMUSED! AMUSE ME! Haha xD",30553384,can't be arsed; can't be bothered or unwilling to deal with something,behavior,self_description,false,
CBA,8137691444,2010-01-24,"@cba_24 Gracias, anyway!",52859706,can't be arsed; can't be bothered or unwilling to deal with something,behavior,casual_conversation,false,
CBA,8137692877,2010-01-24,MLS CBA may push Seattle Sounders star Ljungberg to Europe: The MLS's collective bargaining agreement could push S... http://bit.ly/5KYYB2,85565026,can't be arsed; can't be bothered or unwilling to deal with something,behavior,article_sharing,false,Behavior review override: article_sharing
CBA,8137713289,2010-01-24,MLS CBA may push Seattle Sounders star Ljungberg to Europe http://bit.ly/7zxXaH,64246297,can't be arsed; can't be bothered or unwilling to deal with something,behavior,article_sharing,false,Behavior review override: article_sharing
