word,id,date,text,author_id,term_meaning,term_category,usage_context,is_ironic,annotation_notes
bodice-ripper,7361319580,2010-01-04,Salty Bodice Ripper: Arranged Marriage = Arranged Sex http://cli.gs/19zvS,22485028,melodramatic romance novel,dating,advertising_spam,false,
bodice-ripper,7545338532,2010-01-09,"@stina8753 Well yes. But that's condusive to the creative process, right? (ok idea 2: A hard edged bodice ripper crime noir thriller?)",15203115,melodramatic romance novel,dating,book_discussion,false,
bodice-ripper,7561703187,2010-01-09,@trugstar Would it make a great 'bodice ripper' story? Or is it more of a thriller? Or perhaps a 'who dun what to whom?',40483658,melodramatic romance novel,dating,book_discussion,false,
bodice-ripper,7718472722,2010-01-13,"In which @hornbook asks Madame Ambassador: ""Ever want to write a vampire novel or bodice ripper?"" http://bit.ly/8vz73C",12844002,melodramatic romance novel,dating,book_discussion,false,Literary/genre discussion despite the link.
bodice-ripper,7868743000,2010-01-17,RT Media shows flare for the bodice-ripper @politicsdaily Three's Allowed: Orszag and Co. Do Co-Parenting Proud http://tinyurl.com/ycdhwob,46685074,melodramatic romance novel,dating,advertising_spam,false,
bodice-ripper,7875250124,2010-01-17,"I have decided to write a melodramatic, interracial, bodice-ripper taking place in the civil rights era w/@DesiiDee. We start on MLKjr day.",35260359,melodramatic romance novel,dating,book_discussion,false,
bodice-ripper,7905228672,2010-01-18,"@allyska Yeah, def...like Don Juan, Shakespearian characters, bodice ripper-type roles, but I don't think he wants to be typecast..variety!",77997068,melodramatic romance novel,dating,commenting,false,
bodice-ripper,7922548074,2010-01-18,Ohhhh yeah time to write cheesey racial charged bodice ripper with @ryanflint.  Either MLK would be proud or roll in his grave.,21179975,melodramatic romance novel,dating,humor,true,
bodice-ripper,7930443107,2010-01-19,"Salty Bodice Ripper: Lunch @ Aldy Hotel Malacca: My ""corn in cub"" LOL. Side view. His beer and pizza. Bumped into Priyu's BFF... My la...",46426747,melodramatic romance novel,dating,humor,true,
bodice-ripper,8339829556,2010-01-28,@etherealprey I just got chocolate smut and another bodice ripper,25081823,melodramatic romance novel,dating,book_discussion,false,Discusses obtaining/reading a bodice-ripper book.
bodice-ripper,8352476190,2010-01-29,@LiuTiemo bodice ripper every once in a while and I'll go for chick lit too.  Can always dive through an Austen or a Bronte ...,81288243,melodramatic romance novel,dating,book_discussion,false,
bodice-ripper,8414152029,2010-01-30,@morbid_sparks I ordered pretty books yesterday with my birthday voucher - pretty romance bodice ripper books!,20259931,melodramatic romance novel,dating,book_discussion,false,
bodice-ripper,8443283172,2010-01-31,"Alright, back to Bright Star...bring on the bodice ripper",17587321,melodramatic romance novel,dating,book_discussion,false,Refers to returning to a romance/film text as a bodice-ripper.
bodice-ripper,8443312793,2010-01-31,"Oh crud, the baby...bodice ripper on hold AGAIN",17587321,melodramatic romance novel,dating,book_discussion,false,Reading-status update about a bodice-ripper.
bodice-ripper,8664219715,2010-02-05,"just your average, ordinary night reading about authentication token for DoD's computerized public key infrastructure. real bodice ripper.",818814,melodramatic romance novel,dating,humor,true,
bodice-ripper,8664918078,2010-02-05,"@KaydenBellerose Ohhhhhhh, a bodice ripper, per se!!! @Just_Vampires",70364230,melodramatic romance novel,dating,commenting,false,
bodice-ripper,8924720839,2010-02-10,"Labor MP who compared Barnaby to Ivan Milat previously authored ""sexy"" bodice ripper condemned as too rude by mum http://tiny.cc/CPplu",76842602,melodramatic romance novel,dating,book_discussion,false,News/article about a bodice-ripper novel rather than spam.
bodice-ripper,8947924961,2010-02-11,@plattitude it's like a bodice-ripper for dudes. It's sort of refreshing to see something so honest in its intentions.,15867052,melodramatic romance novel,dating,commenting,false,"Playful comparison, but not strongly ironic."
bodice-ripper,9059446078,2010-02-13,"YES! RT @RainyDayBooks Today's staff challenge: how many retro book phrases we can drop into conversation. ""Pot-boiler"" ""Bodice-ripper"" etc.",15367674,melodramatic romance novel,dating,book_discussion,false,
bodice-ripper,9215698970,2010-02-17,"Cant wait to start new Janet Chapman(she's from my home state) novel ""Tempt Me If You Can"" Its a bodice ripper!",90718066,melodramatic romance novel,dating,book_discussion,false,
bodice-ripper,9512496109,2010-02-23,*reads the back of @AlyXdom's bodice ripper* The sensual elementary school teacher... Damn.,63898788,melodramatic romance novel,dating,book_discussion,false,
bodice-ripper,9672261878,2010-02-26,Sari Rippers - Bodice-ripper romances take off in Indian writing http://ow.ly/16FqT9,69262667,melodramatic romance novel,dating,book_discussion,false,Article-sharing about bodice-ripper romances as a literary topic.
bodice-ripper,9694737288,2010-02-26,@hubcomics I'm actually a character in a torrid Victorian zombie bodice-ripper swashbuckling epic poem. Meant to break it to you sooner...,27331165,melodramatic romance novel,dating,book_discussion,false,
bodice-ripper,9852980625,2010-03-02,"Bodice ripper dialogue? Oh, yes please and thank you, Smallville. Together 4eva!",19786971,melodramatic romance novel,dating,humor,true,
bodice-ripper,9881599002,2010-03-02,Song4: Poem: Concerning Idyllic Bodice Ripper Melodrama Love Story a Call 2Our Epigram Cake Tacful Humor Impetu... ♫ http://blip.fm/~m1fhi,35613950,melodramatic romance novel,dating,advertising_spam,false,
bodice-ripper,10103475694,2010-03-07,@Fergusonlicious I love to read but no one in my day-to-day circle wants to talk about books (except the bodice-ripper trash.  Yuck.),22733176,melodramatic romance novel,dating,book_discussion,false,
bodice-ripper,10448181185,2010-03-14,"@artwiculate Yesternight, a time-traveling bodice-ripper.",15604914,melodramatic romance novel,dating,humor,true,
bodice-ripper,10452571020,2010-03-14,"RT @LBY3 @artwiculate Yesternight, a time-traveling bodice-ripper.",55215534,melodramatic romance novel,dating,humor,true,
bodice-ripper,10483485003,2010-03-14,...wat. I may not have read Frankenstein in a while but I'm pretty sure it wasn't a bodice-ripper   http://twitpic.com/18m4zr,15867052,melodramatic romance novel,dating,humor,true,Joking comparison about Frankenstein not being a bodice-ripper.
bodice-ripper,10489731574,2010-03-14,"Also, there is NO POSSIBLE WAY a man wrote that scene. Not alone anyway. It's textbook bodice-ripper.",15133949,melodramatic romance novel,dating,commenting,false,Genre/style commentary rather than clear irony.
bodice-ripper,10553702510,2010-03-16,"@mauhra I just love to read. Not really a snob, either, aside from not liking the 'bodice ripper' romances. I like realism, even in fantasy",57400237,melodramatic romance novel,dating,book_discussion,false,
bodice-ripper,10574444390,2010-03-16,"Our steamy bodice-ripper wedding: They'll be penned by bestselling authors, who between them have published more t... http://bit.ly/cBWUbR",100629300,melodramatic romance novel,dating,book_discussion,false,Article-sharing about bodice-ripper-themed wedding/books topic.
bodice-ripper,10576134852,2010-03-16,#romance #books Our steamy bodice-ripper wedding - Macleans.ca http://url4.eu/1onUz,74684502,melodramatic romance novel,dating,book_discussion,false,Book/article sharing rather than obvious spam.
bodice-ripper,10578291993,2010-03-16,"Our steamy bodice-ripper wedding: They'll be penned by bestselling authors, who between them have published more t... http://bit.ly/9uZJGs",24024901,melodramatic romance novel,dating,book_discussion,false,Book/article sharing rather than obvious spam.
bodice-ripper,10578676367,2010-03-16,Our steamy bodice-ripper wedding: HCI was starting a line of “reality-based romance” books—a unique literary ventu... http://bit.ly/cBWUbR,99227701,melodramatic romance novel,dating,advertising_spam,false,
bodice-ripper,10593514064,2010-03-16,"Our steamy bodice-ripper wedding - Arts & Culture, Books - Macleans.ca: Canada's only national weekly current affa... http://bit.ly/cBWUbR",100256096,melodramatic romance novel,dating,book_discussion,false,Book/article sharing rather than obvious spam.
bodice-ripper,10593515113,2010-03-16,"Our steamy bodice-ripper wedding - Arts & Culture, Books - Macleans.ca http://bit.ly/bXXNe1",56142104,melodramatic romance novel,dating,book_discussion,false,Book/article sharing rather than obvious spam.
