word,id,date,text,author_id,term_meaning,term_category,usage_context,is_ironic,annotation_notes
meme,8793928487,2010-02-08,oh i found the awful tales of kink meme again,89001903,"a viral joke, idea, image, or cultural reference spread online",meme,meme_reference,false,
meme,8794031379,2010-02-08,RT @BB_MEME_BABiE: RT @AchocolateLIFE: Ppl we need to have a funeral for the phrase #wheretheydothatat ....thanks!&lt;&lt;LMAO,32423296,"a viral joke, idea, image, or cultural reference spread online",meme,casual_conversation,false,Uses Meme as a name or handle rather than internet meme sense.
meme,8794046223,2010-02-08,RT @Detroit4lyfe The product of Big 10 football dominates Super Bowl XLIV (Shhhhh...it ruins the Big 10 sucks meme that media loves,18563698,"a viral joke, idea, image, or cultural reference spread online",meme,commenting,false,
meme,8794068570,2010-02-08,@gayforprotag that's only the beginning of this terrible kink meme,89001903,"a viral joke, idea, image, or cultural reference spread online",meme,meme_reference,false,
meme,8794108175,2010-02-08,Not funny! :( RT @QWEEN_MEME_10: lol@Passions_Own: So my brother was ok until the aroma hit the room!,46402184,"a viral joke, idea, image, or cultural reference spread online",meme,casual_conversation,false,Uses Meme as a name or handle rather than internet meme sense.
meme,8794180965,2010-02-08,Thanks rt @QWEEN_MEME_10: aww ok i take my lol back.@Passions_Own Not funny! :( RT @QWEEN_MEME_10: lol@Passions_Own: So my brother was o ...,46402184,"a viral joke, idea, image, or cultural reference spread online",meme,casual_conversation,false,Uses Meme as a name or handle rather than internet meme sense.
meme,8794395448,2010-02-08,http://bit.ly/anC9FY David Carusso Meme. YEAHHHH,33427107,"a viral joke, idea, image, or cultural reference spread online",meme,meme_reference,false,Directly references the David Carusso meme.
meme,8794397236,2010-02-08,RT @BB_MEME_BABiE: I need some new followers everybody RT this follow @BB_MEME_BABiE,68746273,"a viral joke, idea, image, or cultural reference spread online",meme,advertising_spam,false,
meme,8794419899,2010-02-08,How much I've improved art-wise over the last few years http://cha-wa--darling.deviantart.com/art/Improvement-Meme-153315549,102207625,"a viral joke, idea, image, or cultural reference spread online",meme,commenting,false,
meme,8794461740,2010-02-08,@freakingAWFUL http://aphanon-meme.livejournal.com/33328.html?thread=318032688#t318032688 man i'm sure this is the anon i meant earlier,17779999,"a viral joke, idea, image, or cultural reference spread online",meme,commenting,false,
