word,id,date,text,author_id,term_meaning,term_category,usage_context,is_ironic,annotation_notes
dafuq,7451322158,2010-01-06,so i just remembered a dream i had where me and @ginaolivia were running around campus collecting envelopes of condoms... Dafuq?,80494635,"""the fuck?"" variant expressing confusion or disbelief",reaction,storytelling,false,Reaction review override: storytelling
dafuq,7472512674,2010-01-07,#OnlyAtLibra do they ask if u're pregnant while they search u #dafuq,62542800,"""the fuck?"" variant expressing confusion or disbelief",reaction,reaction,false,
dafuq,7572345394,2010-01-09,why did my GPS take me to the airport? ...im tryna go to the shop. #dafuq,30466872,"""the fuck?"" variant expressing confusion or disbelief",reaction,reaction,false,
dafuq,7575718877,2010-01-10,dafuq followers get it together,11041852,"""the fuck?"" variant expressing confusion or disbelief",reaction,criticism,false,Reaction review override: criticism
dafuq,7757239303,2010-01-14,RT @jonmarkevans: It's looking like Air Force's Troy Calhoun is Tennessee's new head football coach. Dafuq!? #VOLS,37907293,"""the fuck?"" variant expressing confusion or disbelief",reaction,sports_discussion,false,Reaction review override: sports_discussion
dafuq,8102491670,2010-01-23,SOooO this nigga stopped talkin to me in september nd idk why. and he gott the nerve to txt me juss now talkin bout he miss me #DaFuq?,92963481,"""the fuck?"" variant expressing confusion or disbelief",reaction,commenting,false,Reaction review override: commenting
dafuq,8387847767,2010-01-29,@LilyLyksChicken omg! you've never had an energy drink before!? wat dafuq!?! O_o!,84097059,"""the fuck?"" variant expressing confusion or disbelief",reaction,reaction,false,
dafuq,8794156098,2010-02-08,#dafuq is on drew brees face #likeshitboy?,76365104,"""the fuck?"" variant expressing confusion or disbelief",reaction,sports_discussion,false,
dafuq,8971470601,2010-02-11,"@iShowBoaT u kno I think I jus noticed that.. #daFuq ? Lol ""how much u pay 4 all that icing on dat CAKE???"" baha..",70812372,"""the fuck?"" variant expressing confusion or disbelief",reaction,humor,true,Reaction review override: humor | Irony audit: Playful incredulous humor signaled by Lol and baha.
dafuq,8988870480,2010-02-12,@neek12 dafuq you been at nigro? Haven't heard from yo ass all day,91885451,"""the fuck?"" variant expressing confusion or disbelief",reaction,casual_conversation,false,Reaction review override: casual_conversation
dafuq,9394164291,2010-02-20,nigga got on flip flops jeans and a northface.. #dafuq?! http://s2t.vg/jA5aWV,76365104,"""the fuck?"" variant expressing confusion or disbelief",reaction,reaction,false,
dafuq,9690777251,2010-02-26,RT @MiSZxKiKi: @Mr_Phenomenal_ Some Library Orientation session *pointless*&lt;&lt;&lt; #dafuq lmao,80580490,"""the fuck?"" variant expressing confusion or disbelief",reaction,humor,true,Irony audit: `#dafuq lmao` is explicitly joking disbelief.
