word,id,date,text,author_id,term_meaning,term_category,usage_context,is_ironic,annotation_notes
blowjob,7342879710,2010-01-03,"Lusty amateurish fuck.: Lusty amateur fuck, blowjob and cum swallow. 
Ex- man fucked a souse girl. I fucked his.. http://bit.ly/8TAIXR",99886188,oral sex performed on a penis,sex,advertising_spam,false,
blowjob,7342924408,2010-01-03,"Too much work going on today, need a starbucks, or a blowjob! :)",77239093,oral sex performed on a penis,sex,humor,false,Manual override -> humor
blowjob,7343170927,2010-01-03,Going to go finish that blowjob now. Talk to you peeps later. ;) - Joe,100615234,oral sex performed on a penis,sex,casual_conversation,false,Manual override -> casual_conversation
blowjob,7343224920,2010-01-03,Nicole Sheridan in hot blowjob close-up http://bit.ly/8m2NaK,36145241,oral sex performed on a penis,sex,advertising_spam,false,
blowjob,7343434710,2010-01-03,Seeing Avatar is like getting your first blowjob...,14646380,oral sex performed on a penis,sex,humor,false,Manual override -> humor
blowjob,7343492104,2010-01-03,"Every time I say mind-blowing, I remember abt @damalur 's  ""it was like the cookies were giving her mind a blowjob"" and I laugh so much.",29296775,oral sex performed on a penis,sex,humor,false,Manual override -> humor
blowjob,7343547715,2010-01-03,"@HaitianGem if you gonna tell da story tell it rite! Poor person got in my cab offered to compensate me w/ a blowjob,",94244977,oral sex performed on a penis,sex,casual_conversation,false,Manual override -> casual_conversation
blowjob,7343551396,2010-01-03,A Step by Step Blowjob Technique - Taming The Alligator http://bit.ly/4ZPDc8,100518350,oral sex performed on a penis,sex,article_sharing,false,Manual override -> article_sharing
blowjob,7343585423,2010-01-03,"@JoickFake Don't blowjob him too much, Joe. Give him a break! LOL &lt;3",50254547,oral sex performed on a penis,sex,casual_conversation,false,Manual override -> casual_conversation
blowjob,7343898173,2010-01-03,Getn a blowjob while takin a shit (Blumpkin) #Thuglife,66890379,oral sex performed on a penis,sex,sexual_context,false,
blowjob,7387764380,2010-01-05,You can’t argue with a good blowjob - (via philotex) http://tumblr.com/xnd58vghd,92697639,oral sex performed on a penis,sex,commenting,false,Manual override -> commenting
blowjob,7388719095,2010-01-05,Identical Blowjob Sisters pt4 http://tinyurl.com/y8lvjes #porn #video #nsfw,50038855,oral sex performed on a penis,sex,advertising_spam,false,
blowjob,7388832439,2010-01-05,"My Dad's wisdom-(defending Bill Clinton's affair)""What's the point in being president if you can't get the odd free blowjob""...has a point",42991134,oral sex performed on a penis,sex,commenting,false,Manual override -> commenting
blowjob,7389072821,2010-01-05,its called getting a blowjob. youll get one someday,62363255,oral sex performed on a penis,sex,commenting,false,Manual override -> commenting
blowjob,7389188903,2010-01-05,http://bit.ly/4Kr3xV An unforgettable blowjob from Lidia,87957099,oral sex performed on a penis,sex,advertising_spam,false,
blowjob,7389470726,2010-01-05,Blowjob.dk just got evaluated and scored 7 at www.scoreinthebox.com/blowjob.dk,77956601,oral sex performed on a penis,sex,technology_discussion,false,Manual override -> technology_discussion
blowjob,7389823644,2010-01-05,"@LukeIsBack If you've recently searched on things like blowjob, sodomy, cocks...  I've used many terms that might be relevant.",15971968,oral sex performed on a penis,sex,casual_conversation,false,
